ticker,date,close
mrp-za,12/29/2006,25.24
mrp-za,1/2/2007,25
mrp-za,1/3/2007,24.9
mrp-za,1/4/2007,24.55
mrp-za,1/5/2007,24.7
mrp-za,1/8/2007,24.45
mrp-za,1/9/2007,25.22
mrp-za,1/10/2007,25.9
mrp-za,1/11/2007,26.9
mrp-za,1/12/2007,27.5
mrp-za,1/15/2007,28.05
mrp-za,1/16/2007,28.5
mrp-za,1/17/2007,28.3
mrp-za,1/18/2007,28.8
mrp-za,1/19/2007,28.88
mrp-za,1/22/2007,28.9
mrp-za,1/23/2007,28.9
mrp-za,1/24/2007,29.5
mrp-za,1/25/2007,30.21
mrp-za,1/26/2007,31
mrp-za,1/29/2007,30.25
mrp-za,1/30/2007,30
mrp-za,1/31/2007,30
mrp-za,2/1/2007,29.8
mrp-za,2/2/2007,30.6
mrp-za,2/5/2007,30.3
mrp-za,2/6/2007,29.49
mrp-za,2/7/2007,28.49
mrp-za,2/8/2007,28.99
mrp-za,2/9/2007,29.5
mrp-za,2/12/2007,29.4
mrp-za,2/13/2007,30.55
mrp-za,2/14/2007,30.6
mrp-za,2/15/2007,30
mrp-za,2/16/2007,29.7
mrp-za,2/19/2007,29
mrp-za,2/20/2007,28.9
mrp-za,2/21/2007,29.1
mrp-za,2/22/2007,29.2
mrp-za,2/23/2007,29.5
mrp-za,2/26/2007,29.85
mrp-za,2/27/2007,29.8
mrp-za,2/28/2007,29.7
mrp-za,3/1/2007,29.3
mrp-za,3/2/2007,29.7
mrp-za,3/5/2007,27.8
mrp-za,3/6/2007,27.61
mrp-za,3/7/2007,28.35
mrp-za,3/8/2007,28.2
mrp-za,3/9/2007,28.3
mrp-za,3/12/2007,28.11
mrp-za,3/13/2007,27.7
mrp-za,3/14/2007,26.7
mrp-za,3/15/2007,27.7
mrp-za,3/16/2007,28
mrp-za,3/19/2007,28.1
mrp-za,3/20/2007,29.1
mrp-za,3/22/2007,29.9
mrp-za,3/23/2007,30.88
mrp-za,3/26/2007,30.37
mrp-za,3/27/2007,30.35
mrp-za,3/28/2007,30.39
mrp-za,3/29/2007,30
mrp-za,3/30/2007,29.8
mrp-za,4/2/2007,30
mrp-za,4/3/2007,29.75
mrp-za,4/4/2007,29.7
mrp-za,4/5/2007,29.4
mrp-za,4/10/2007,29.48
mrp-za,4/11/2007,29.3
mrp-za,4/12/2007,29.3
mrp-za,4/13/2007,29.6
mrp-za,4/16/2007,30
mrp-za,4/17/2007,30.2
mrp-za,4/18/2007,30.7
mrp-za,4/19/2007,30.64
mrp-za,4/20/2007,30.55
mrp-za,4/23/2007,30.56
mrp-za,4/24/2007,30.66
mrp-za,4/25/2007,30.85
mrp-za,4/26/2007,31.48
mrp-za,4/30/2007,32.35
mrp-za,5/2/2007,32.4
mrp-za,5/3/2007,32
mrp-za,5/4/2007,32.4
mrp-za,5/7/2007,32.4
mrp-za,5/8/2007,32.21
mrp-za,5/9/2007,32.33
mrp-za,5/10/2007,31.5
mrp-za,5/11/2007,31.06
mrp-za,5/14/2007,30.75
mrp-za,5/15/2007,30.81
mrp-za,5/16/2007,31.98
mrp-za,5/17/2007,32
mrp-za,5/18/2007,31.87
mrp-za,5/21/2007,32.52
mrp-za,5/22/2007,32.8
mrp-za,5/23/2007,32.52
mrp-za,5/24/2007,31.8
mrp-za,5/25/2007,31.65
mrp-za,5/28/2007,31.65
